Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Mood_Label,Confidence,Mental_Health_Benefit,Musical_Features
Tere Bina,Void,30,"['desi emo rap', 'desi hip hop', 'hindi hip hop']",Tere Bina,27,0.794,0.564,5,-11.351,0,0.249,0.172,1.59E-06,0.111,0.534,140.089,116714,Neutral,0.731,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Jean Teri (Zero To Infinity),Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Zero to Infinity,29,0.839,0.73,9,-5.585,0,0.0902,0.0304,3.16E-05,0.154,0.587,100.032,199449,Excitement,0.822,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
"Ajogyo Ami (From ""Ajogyo"")",Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']","Ajogyo Ami (From ""Ajogyo"")",28,0.629,0.513,4,-9.887,0,0.0265,0.375,0,0.167,0.473,99.968,257450,Neutral,0.851,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Laapata,Gravity,42,"['desi hip hop', 'hindi hip hop', 'indian underground rap']",Moonbounce,28,0.918,0.427,4,-11.509,0,0.232,0.361,1.41E-05,0.185,0.359,107.004,254018,Neutral,0.783,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Kya Bey Shaane?,Naezy,41,"['desi hip hop', 'hindi hip hop']",Kya Bey Shaane?,28,0.821,0.764,10,-6.659,0,0.357,0.147,0,0.183,0.878,79.84,111750,Anger,0.486,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
Aye Jaani,King,70,"['desi pop', 'hindi hip hop']",Mtv Hustle,27,0.597,0.914,7,-4.094,1,0.208,0.689,0,0.515,0.741,149.919,148880,Joy,0.265,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Phir Dhoom,Palash Sen,42,"['filmi', 'hindi indie', 'indian indie', 'sufi']",Euphoria,29,0.49,0.61,1,-6.259,1,0.375,0.279,0,0.0774,0.575,64.977,303426,Neutral,0.727,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Tui Ki Kore Dili,Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']",Ghare & Baire,29,0.761,0.524,10,-9.454,1,0.0309,0.543,0,0.233,0.753,115.929,198345,Joy,1,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Brishti Theme Gele,Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']",Brishti Theme Gele,28,0.751,0.595,0,-5.649,1,0.0361,0.309,0,0.0899,0.34,119.967,227456,Neutral,0.865,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Raaton Mein,Gravity,42,"['desi hip hop', 'hindi hip hop', 'indian underground rap']",Moonbounce,31,0.813,0.398,10,-7.349,1,0.0894,0.531,1.09E-06,0.107,0.617,85.002,231882,Neutral,0.791,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Proud,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Mr. Nair,27,0.826,0.924,4,-5.704,0,0.212,0.223,0,0.187,0.483,129.943,197538,Anger,0.754,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
Chalte Firte,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Malum Hai Na,27,0.665,0.817,5,-5.279,1,0.23,0.658,0,0.0884,0.678,99.002,143900,Joy,0.376,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Ovotaar,aswekeepsearching,28,"['hindi indie', 'indian ambient', 'indian indie', 'indian instrumental rock']",Ovotaar,27,0.449,0.774,6,-6.135,0,0.0384,0.592,0.00687,0.104,0.156,95.964,333125,Fear,0.824,"Calmness, Reassurance, Grounding, Courage Building","Soft Tempo, Minor Harmony, Dissonant Elements, Steady Rhythm"
Tu Hi Rab Hai,Yeshua Ministries,40,['hindi worship'],Tu Hi Rab Hai,28,0.55,0.974,2,-5.612,1,0.0423,0.0245,0.000365,0.877,0.843,130.013,288133,Excitement,0.562,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Sunehri Zindagi,Rawal,43,"['desi hip hop', 'desi trap', 'hindi hip hop', 'indian underground rap']",Sunehri Zindagi,28,0.833,0.5,7,-8.444,0,0.0889,0.616,9.08E-06,0.174,0.599,114.029,211578,Neutral,0.843,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
1000 pieces,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",Genesis 1:1,29,0.714,0.579,0,-6.087,1,0.0316,0.218,0,0.358,0.256,140.006,188571,Neutral,0.813,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Beintehaan Pyaar,Kenneth Silway,26,['hindi worship'],Beintehaan Pyaar,27,0.572,0.796,3,-6.043,1,0.0474,0.0175,0,0.941,0.537,138.098,287094,Anger,0.565,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
No Breaks,yungsta,37,"['desi hip hop', 'hindi hip hop', 'indian underground rap']",Graveyard Shift,28,0.779,0.767,6,-5.976,1,0.186,0.249,0,0.115,0.962,139.974,180486,Joy,0.577,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Haal,Panther,53,"['desi hip hop', 'hindi hip hop']",Flying Towards The City,27,0.545,0.441,3,-10.617,0,0.237,0.628,0.00032,0.114,0.439,101.396,190638,Neutral,0.78,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Hollow,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",The Way That Lovers Do,29,0.348,0.31,11,-13.122,1,0.0413,0.845,0.0569,0.111,0.0474,114.812,204373,Calm,0.562,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Into the Night,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",In Tokens & Charms,29,0.847,0.489,10,-7.926,1,0.0868,0.494,0,0.071,0.839,120.018,183228,Joy,0.981,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
"Saaya (From ""Sector 36"")",Kanishk Seth,55,"['desi pop', 'hindi indie', 'indian indie', 'modern bollywood']",Sector 36 (Original Motion Picture Soundtrack),28,0.602,0.588,6,-10.068,0,0.0294,0.513,0.328,0.249,0.34,144.011,231458,Neutral,0.738,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Life is good,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",8 Saal,28,0.754,0.337,5,-9.981,0,0.0434,0.553,0.00014,0.129,0.518,141.965,189317,Neutral,0.826,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Heartbroken,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",The Way That Lovers Do,29,0.661,0.481,0,-10.962,1,0.0294,0.662,0.0791,0.0789,0.154,119.974,187733,Neutral,0.837,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Roots,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",King Of The Streets,27,0.606,0.757,0,-4.52,0,0.207,0.335,0,0.306,0.285,97.633,156734,Anger,0.705,"Anger Management, Tension Release, Calm Focus, Emotional Regulation","Dynamic Rhythm, Complex Harmony, High Intensity, Strong Beats"
yaadein,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",Genesis 1:1,28,0.643,0.508,5,-8.325,1,0.0432,0.492,0,0.121,0.408,170.136,162352,Neutral,0.803,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Irradon,Lifafa,39,"['hindi indie', 'indian electronic', 'indian indie', 'new delhi indie']",SUPERPOWER 2020,29,0.598,0.779,0,-10.485,1,0.0354,0.162,0.0449,0.133,0.235,129.02,442790,Neutral,0.536,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Phir Dhoom (Kaise Bhoolegi Mera Naam),Palash Sen,42,"['filmi', 'hindi indie', 'indian indie', 'sufi']",Phir Dhoom,28,0.747,0.601,8,-6.244,0,0.16,0.309,0,0.0712,0.6,65.046,303425,Neutral,0.82,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Voh,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Raat Raazi,29,0.68,0.715,2,-7.664,1,0.0309,0.0199,0.0984,0.0802,0.708,133.989,226697,Joy,0.966,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Meherbani,Emiway Bantai,60,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",King Of The Streets,27,0.522,0.804,8,-4.724,1,0.445,0.33,0,0.0632,0.731,163.219,213028,Joy,0.301,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
kahaniyan,Zaeden,55,"['desi pop', 'hindi indie', 'indian edm']",Zaeden 02,29,0.798,0.57,8,-6.625,1,0.0433,0.742,2.43E-05,0.117,0.791,125.105,139980,Joy,0.999,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Cold Shoulders,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",In Tokens & Charms (Deluxe Edition),29,0.669,0.213,10,-15.379,1,0.0398,0.778,0.0146,0.0849,0.204,129.604,218269,Calm,0.494,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Vedahametam,Cyprian Consiglio,5,[],Echo of Your Peace,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,320626,Calm,0.491,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Ecstasis Part III: Move,Cyprian Consiglio,5,[],Ec*stasis,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,322400,Calm,0.492,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Mohabat Khuda Ki,Victor Benjamin,14,[],Mohabat Khuda Ki,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,256104,Calm,0.454,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Mere Hi Khatir Tere Hi Khatir,Victor Benjamin,14,[],Mere Hi Khatir Tere Hi Khatir,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,332000,Calm,0.481,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Millar Hum Sanna Teri,Victor Benjamin,14,[],Millar Hum Sanna Teri,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,264848,Calm,0.456,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Tanhaai,Ranveer Singh,0,[],Tanhaai,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,203128,Calm,0.46,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Ishwar ko Dhanya Kehte,Victor Benjamin,14,[],Ishwar ko Dhanya Kehte,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,250712,Calm,0.452,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Khudaya Shukar Hai Tera - Piano Instrumental,Victor Benjamin,14,[],Khudaya Shukar Hai Tera (Piano Instrumental),0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,203478,Calm,0.433,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Hidden in My Silence,Cyprian Consiglio,5,[],My Soul's Companion,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,366773,Calm,0.47,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
The Ground We Share,Cyprian Consiglio,5,[],The Ground We Share (Original Songs),0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,290240,Calm,0.48,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Daigon,Cyprian Consiglio,5,[],My Soul's Companion,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,209613,Calm,0.452,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Me Vehicle Phulana - Instrumental,Victor Benjamin,14,[],Me Vehicle Phulana (Instrumental),0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,308250,Calm,0.472,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Tera Naam Rahe Ucha,Victor Benjamin,14,[],Tera Naam Rahe Ucha,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,415000,Calm,0.484,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
You Are Child,Cyprian Consiglio,5,[],Ec*stasis,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,316840,Calm,0.49,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Ye Hai Bharat Desh,Victor Benjamin,14,[],Ye Hai Bharat Desh,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,374500,Calm,0.503,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
The Drink Sent Down,Cyprian Consiglio,5,[],Hermit Preacher Wanderer,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,309453,Calm,0.487,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
36 Ke Chati 32 Ke Choli,Ranveer Singh,57,"['hindi hip hop', 'desi hip hop', 'bollywood', 'desi', 'hindi pop']",36 Ke Chati 32 Ke Choli,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,351813,Neutral,0.807,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Ecstasis Part I: Attend,Cyprian Consiglio,5,[],Ec*stasis,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,240253,Calm,0.463,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Circle Song,Cyprian Consiglio,5,[],Awakening,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,285693,Calm,0.478,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Desire of Dreams,Victor Benjamin,14,[],Desire of Dreams,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,418298,Calm,0.485,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Bade Jhum ke Aaj Aiya Bada Din,Victor Benjamin,14,[],Bade Jhum ke Aaj Aiya Bada Din,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,256965,Calm,0.454,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Naya Saal Ka Ishaara,Victor Benjamin,14,[],Naya Saal Ka Ishaara,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,196909,Calm,0.428,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
The Day Sky,Cyprian Consiglio,5,[],Compassionate And Wise,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,204746,Calm,0.451,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Chenthur,Selvam,18,[],Sanmuka Naayakan Geetham,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,278463,Calm,0.455,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Circles,Cyprian Consiglio,5,[],Awakening,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,151933,Calm,0.417,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Oh Pretty Woman,Prince Robinson,18,[],Almost from Sunrise,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,244933,Calm,0.445,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Hoochie Coochie Man,Prince Robinson,18,[],Almost from Sunrise,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,267306,Calm,0.451,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Pavitra Tu Hai Pavitra,Victor Benjamin,14,[],Pavitra Tu Hai Pavitra,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,451892,Calm,0.501,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Om Bhagavan,Cyprian Consiglio,5,[],Hare Yeshu,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,270400,Calm,0.473,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
होसन्ना,Victor Benjamin,14,[],होसन्ना,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,252000,Calm,0.453,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Is The One I Love Everywhere?,Cyprian Consiglio,5,[],Awakening,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,254680,Calm,0.468,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
tere bina - Lofi,Zaeden,51,"['indian indie', 'hindi indie']",Holi Chill Mix,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,189750,Neutral,0.869,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
On & On,Ashutosh Phatak,15,"['hindi hip hop', 'desi pop']",Smoke Signals,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,295573,Calm,0.465,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
You're So Beautiful,Ashutosh Phatak,15,"['hindi hip hop', 'desi pop']",Smoke Signals,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,248560,Calm,0.45,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Ye Watan Hamara Hai (Vande Matram),Victor Benjamin,14,[],Ye Watan Hamara Hai (Vande Matram),0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,354246,Calm,0.492,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
The Final Frontier,Ashutosh Phatak,15,"['hindi hip hop', 'desi pop']",Smoke Signals,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,302080,Calm,0.468,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
My Soul's Companion,Cyprian Consiglio,5,[],Hermit Preacher Wanderer,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,257226,Calm,0.468,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Ye Watan Humara hai,Victor Benjamin,14,[],Ye Watan Humara hai,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,354246,Calm,0.492,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
"Ghure Chole Jai_(From""Cross Connection 2"")",Anupam Roy,58,"['bangla pop', 'hindi indie']",Anupam Roy Hits,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,205673,Neutral,0.877,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Salve Regina (Live),Cyprian Consiglio,5,[],"Arise, My Love (Live)",0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,195005,Calm,0.447,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Kala Doriya,Baba Sehgal,58,"['telugu pop', 'tollywood', 'tamil dance']",America Mein Indian Dhaba,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,312600,Neutral,0.844,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Anand Anand Anand Hai,Victor Benjamin,14,[],Anand Anand Anand Hai,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,323507,Calm,0.477,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
"Tumi Jake Bhalobaso Male Version - From ""Praktan""",Anupam Roy,58,"['bangla pop', 'hindi indie']",Magical 15 Bengali,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,296855,Neutral,0.852,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Lebanon,Cyprian Consiglio,5,[],Hermit Preacher Wanderer,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,408853,Calm,0.491,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Abhishek instumental,Victor Benjamin,14,[],Abhishek instumental,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,319669,Calm,0.475,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Alchemy - Radio Edit,Bandish Projekt,43,"['gujarati garba', 'gujarati pop', 'desi hip hop', 'bhajan', 'hindi hip hop']",Alchemy (Radio Edit),0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,272428,Calm,0.326,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
The Song of Luke: The Canticle of Simeon,Cyprian Consiglio,5,[],The Song Of Luke,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,248000,Calm,0.466,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Jago Sonewalo - Christmas,Victor Benjamin,14,[],Jago Sonewalo (Christmas),0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,391888,Calm,0.472,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
"Tumi Jake Bhalobaso (Male Version) - From ""Praktan""",Anupam Roy,58,"['bangla pop', 'hindi indie']",Bengali Puja - Special Hits,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,296855,Neutral,0.852,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Teacher's Day Poem,Victor Benjamin,14,[],Teacher's Day Poem,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,68963,Neutral,0.846,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
"Ekbar Phirte Dao - From ""Arani Takhon""",Anupam Roy,58,"['bangla pop', 'hindi indie']",Best of 2017 Bengali,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,325694,Neutral,0.837,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
The Great Mother,Cyprian Consiglio,5,[],My Soul's Companion,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,248893,Calm,0.466,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Abhishek,Victor Benjamin,14,[],Abhishek,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,282495,Calm,0.462,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
"Jeete Hain Chal (From ""Neerja"")",Kavita Seth,63,"['bollywood', 'hindi indie', 'hindi pop', 'indian indie', 'ghazal', 'desi', 'sufi']",Queen Vibes,0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,248778,Neutral,0.874,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Instagram It's Christmas - Reel,Victor Benjamin,14,[],Instagram It's Christmas (Reel),0,0.5,0.5,5,-8,1,0.05,0.3,0,0.1,0.5,120,86190,Neutral,0.828,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
